observation_date,VIXCLS
2008-11-01,55.84
2008-12-01,40.00
2009-01-01,44.84
2009-02-01,46.35
2009-03-01,44.14
2009-04-01,36.50
2009-05-01,28.92
2009-06-01,26.35
2009-07-01,25.92
2009-08-01,26.01
2009-09-01,25.61
2009-10-01,30.69
2009-11-01,24.51
2009-12-01,21.68
2010-01-01,24.62
2010-02-01,19.50
2010-03-01,17.59
2010-04-01,22.05
2010-05-01,32.07
2010-06-01,34.54
2010-07-01,23.50
2010-08-01,26.05
2010-09-01,23.70
2010-10-01,21.20
2010-11-01,23.54
2010-12-01,17.75
2011-01-01,19.53
2011-02-01,18.35
2011-03-01,17.74
2011-04-01,14.75
2011-05-01,15.45
2011-06-01,16.52
2011-07-01,25.25
2011-08-01,31.62
2011-09-01,42.96
2011-10-01,29.96
2011-11-01,27.80
2011-12-01,23.40
2012-01-01,19.44
2012-02-01,18.43
2012-03-01,15.50
2012-04-01,17.15
2012-05-01,24.06
2012-06-01,17.08
2012-07-01,18.93
2012-08-01,17.47
2012-09-01,15.73
2012-10-01,18.60
2012-11-01,15.87
2012-12-01,18.02
2013-01-01,14.28
2013-02-01,15.51
2013-03-01,12.70
2013-04-01,13.52
2013-05-01,16.30
2013-06-01,16.86
2013-07-01,13.45
2013-08-01,17.01
2013-09-01,16.60
2013-10-01,13.75
2013-11-01,13.70
2013-12-01,13.72
2014-01-01,18.41
2014-02-01,14.00
2014-03-01,13.88
2014-04-01,13.41
2014-05-01,11.40
2014-06-01,11.57
2014-07-01,16.95
2014-08-01,11.98
2014-09-01,16.31
2014-10-01,14.03
2014-11-01,13.33
2014-12-01,19.20
2015-01-01,20.97
2015-02-01,13.34
2015-03-01,15.29
2015-04-01,14.55
2015-05-01,13.84
2015-06-01,18.23
2015-07-01,12.12
2015-08-01,28.43
2015-09-01,24.50
2015-10-01,15.07
2015-11-01,16.13
2015-12-01,18.21
2016-01-01,20.20
2016-02-01,20.55
2016-03-01,13.95
2016-04-01,15.70
2016-05-01,14.19
2016-06-01,15.63
2016-07-01,11.87
2016-08-01,13.42
2016-09-01,13.29
2016-10-01,17.06
2016-11-01,13.33
2016-12-01,14.04
2017-01-01,11.99
2017-02-01,12.92
2017-03-01,12.37
2017-04-01,10.82
2017-05-01,10.41
2017-06-01,11.18
2017-07-01,10.26
2017-08-01,10.59
2017-09-01,9.51
2017-10-01,10.18
2017-11-01,11.28
2017-12-01,11.04
2018-01-01,13.54
2018-02-01,19.85
2018-03-01,19.97
2018-04-01,15.93
2018-05-01,15.43
2018-06-01,16.09
2018-07-01,12.83
2018-08-01,12.86
2018-09-01,12.12
2018-10-01,21.23
2018-11-01,18.07
2018-12-01,25.42
2019-01-01,16.57
2019-02-01,14.78
2019-03-01,13.71
2019-04-01,13.12
2019-05-01,18.71
2019-06-01,15.08
2019-07-01,16.12
2019-08-01,18.98
2019-09-01,16.24
2019-10-01,13.22
2019-11-01,12.62
2019-12-01,13.78
2020-01-01,18.84
2020-02-01,40.11
2020-03-01,53.54
2020-04-01,34.15
2020-05-01,27.51
2020-06-01,30.43
2020-07-01,24.46
2020-08-01,26.41
2020-09-01,26.37
2020-10-01,38.02
2020-11-01,20.57
2020-12-01,22.75
2021-01-01,33.09
2021-02-01,27.95
2021-03-01,19.40
2021-04-01,18.61
2021-05-01,16.76
2021-06-01,15.83
2021-07-01,18.24
2021-08-01,16.48
2021-09-01,23.14
2021-10-01,16.26
2021-11-01,27.19
2021-12-01,17.22
2022-01-01,24.83
2022-02-01,30.15
2022-03-01,20.56
2022-04-01,33.40
2022-05-01,26.19
2022-06-01,28.71
2022-07-01,21.33
2022-08-01,25.87
2022-09-01,31.62
2022-10-01,25.88
2022-11-01,20.58
2022-12-01,21.67
2023-01-01,19.40
2023-02-01,20.70
2023-03-01,18.70
2023-04-01,15.78
2023-05-01,17.94
2023-06-01,13.59
2023-07-01,13.63
2023-08-01,13.57
2023-09-01,17.52
2023-10-01,18.14
2023-11-01,12.92
2023-12-01,12.45
2024-01-01,14.35
2024-02-01,13.40
2024-03-01,13.01
2024-04-01,15.65
2024-05-01,12.92
2024-06-01,12.44
2024-07-01,16.36
2024-08-01,15.00
2024-09-01,16.73
2024-10-01,23.16
2024-11-01,13.51
2024-12-01,17.35
2025-01-01,16.43
2025-02-01,19.63
2025-03-01,22.28
2025-04-01,24.70
2025-05-01,18.57
2025-06-01,16.73
2025-07-01,16.72
2025-08-01,15.36
2025-09-01,16.28
2025-10-01,17.44
2025-11-01,16.35
